Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Merkel cell polyomavirus	493803	1173.67	21.724	0.183767	0.183238	482
Staphylococcus phage 3A	215167	1121.63	20.761	0.017059	0.135386	42
Staphylococcus phage tp310-2	445516	1092.97	20.230999999999998	0.06356	0.130816	251
Staphylococcus phage SMSAP5	1168612	1004.52	18.593	0.017699	0.125274	20
Staphylococcus phage Pvl108	360398	314.94	5.829	0.010496	0.049231	11
Staphylococcus phage StauST398-5	1308897	137.77	2.55	0.112745	0.024487	162
Staphylococcus phage ROSA	320843	124.48	2.3040000000000003	0.011599	0.024607	27
Human immunodeficiency virus 1	11676	121.67	2.252	0.02451	0.02451	82
Staphylococcus phage StB20	1147043	109.56	2.028	0.016997	0.016997	445
Staphylococcus phage tp310-3	445517	108.97	2.017	0.097076	0.02014	83
Human papillomavirus type 49	10616	92.37	1.71	0.020226	0.020226	77